Diện tích,Mức giá,Mặt tiền,Pháp lý,Khu vực,Loại bất động sản,Đường vào,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng,Hướng nhà
"81,3 m²",5 tỷ,,Sổ đỏ/ Sổ hồng.,Hai Bà Trưng,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Cơ bản.,,Tây - Bắc
81 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,,2 phòng,2 phòng,,,
190 m²,35 tỷ,,Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",10 m,,7 phòng,,Đầy đủ,,
145 m²,370 triệu/m²,9 m,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,"Nhà biệt thự, liền kề",30 m,,4 phòng,4 phòng,Không nội thất,4 tầng,
79 m²,"1,9 tỷ","4,5 m",,Thạch Thất,Bán đất,24 m,,,,,,
132 m²,"7,5 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Đông - Bắc
,,,,,,,,,,,,
60 m²,"12,5 tỷ","3,8 m",Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,8 m,Đông - Nam,3 phòng,3 phòng,Cơ bản,3 tầng,Đông - Nam
86 m²,"24,5 tỷ","5,7 m",Sổ đỏ/ Sổ hồng,Hà Đông,Nhà mặt phố,12 m,,7 phòng,7 phòng,Không nội thất,3 tầng,Đông - Nam
87 m²,"29,8 tỷ",8 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà mặt phố,6 m,,5 phòng,12 phòng,Đầy đủ,9 tầng,
60 m²,"17,8 tỷ","5,1 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,,,Đầy đủ,5 tầng,
112 m²,35 tỷ,6 m,Sổ đỏ,Tây Hồ,Nhà mặt phố,,,,,,8 tầng,
"71,2 m²","4,9 tỷ",,Đã có sổ.,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Full.,,Tây - Bắc
"77,8 m²","3,8 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Căn hộ chung cư,,Tây - Nam,2 phòng,2 phòng,Đầy đủ,,Tây - Nam
32 m²,"5,5 tỷ","3,8 m",Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,,,3 phòng,4 phòng,Đầy đủ nội thất decor theo nhà.,5 tầng,
55 m²,"7,5 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,,,3 phòng,2 phòng,,4 tầng,
126 m²,Thỏa thuận,,,Cầu Giấy,Bán đất,18 m,,,,,,
90 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,19 phòng,19 phòng,Đầy đủ,9 tầng,
40 m²,5 tỷ,4 m,"- Sổ đỏ chính chủ, sẵn sàng giao dịch.",Nam Từ Liêm,Nhà riêng,4 m,,4 phòng,5 phòng,Đầy đủ,5 tầng,
103 m²,18 tỷ,,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,26 phòng,21 phòng,Đầy đủ,8 tầng,
33 m²,"3,85 tỷ","3,4 m",,Nam Từ Liêm,Nhà riêng,"2,7 m",,3 phòng,4 phòng,"Nội thất cơ bản: Gạch Viglacera, cửa thông phòng và cầu thang, tay vịn gỗ Lim, tủ bếp gỗ Sồi Nga, thiết bị vệ sinh Inax. Trần thạch cao, hệ thông đèn chiếu sáng đã đầy đủ...",5 tầng,Tây - Bắc
20 m²,"5,4 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hoàn Kiếm,Nhà riêng,3 m,,2 phòng,3 phòng,Đầy đủ,5 tầng,
46 m²,"5,5 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Bán đất,,,,,,,
73 m²,"3,5 tỷ",,Sổ đỏ/ Sổ hồng,Gia Lâm,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
70 m²,"12,6 tỷ","4,1 m",Sổ đỏ/ Sổ hồng,Long Biên,Bán đất,7 m,,,,,,
50 m²,"10,5 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,5 phòng,5 phòng,Đầy đủ,5 tầng,
35 m²,"6,35 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,4 m,,3 phòng,3 phòng,Đầy đủ,5 tầng,
45 m²,"7,2 tỷ",,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà riêng,5 m,Bắc,6 phòng,4 phòng,Đầy đủ,5 tầng,Bắc
50 m²,"8,6 tỷ","3,5 m",Sổ đỏ/ Sổ hồng.,Long Biên,Bán đất,13 m,,,,,,Đông - Bắc
52 m²,"15,45 tỷ",,,Hoàng Mai,Nhà mặt phố,,,,,,5 tầng,
432 m²,124 tỷ,17 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Bán đất,,,,,,,
70 m²,"14,8 tỷ",5 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,7 phòng,,,5 tầng,
"94,06 m²","4,6 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông,2 phòng,2 phòng,Đầy đủ,,Tây
"94,4 m²","6,7 tỷ","5,6 m",Sổ đỏ/ Sổ hồng.,Đông Anh,Bán đất,"5,5 m",,,,,,
33 m²,"2,95 tỷ",36 m,Sổ đỏ/ Sổ hồng,Đan Phượng,Nhà riêng,25 m,,4 phòng,4 phòng,Cơ bản,5 tầng,Đông - Nam
118 m²,17 tỷ,"5,2 m",Sổ đỏ/ Sổ hồng,Long Biên,Bán đất,,,,,,,
344 m²,"3,5 tỷ",20 m,Sổ đỏ/ Sổ hồng,Chương Mỹ,Bán đất,8 m,,,,,,
40 m²,Thỏa thuận,5 m,Sổ đỏ/ Sổ hồng,Đông Anh,Bán đất,3 m,,,,,,
40 m²,"8,65 tỷ","3,7 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,10 m,Nam,5 phòng,2 phòng,Đầy đủ,6 tầng,Đông
70 m²,"4,6 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Tây - Nam,2 phòng,2 phòng,Đầy đủ.,,Đông - Bắc
60 m²,"3,3 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,,2 phòng,2 phòng,Cơ bản,,
46 m²,"13,75 tỷ",,,Cầu Giấy,Nhà riêng,,,8 phòng,8 phòng,,7 tầng,
85 m²,13 tỷ,5 m,Đang chờ sổ,Gia Lâm,"Nhà biệt thự, liền kề",13 m,,4 phòng,3 phòng,Không nội thất,5 tầng,
91 m²,"28,8 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,"Shophouse, nhà phố thương mại",,,,,,7 tầng,
34 m²,"8,4 tỷ","4,2 m",Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,4 phòng,4 phòng,Đầy đủ,6 tầng,
55 m²,"2,35 tỷ",,,Long Biên,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,"Đầy đủ nội thất: Tủ bếp, 03 điều hòa, giường, tủ...",,
35 m²,"1,85 tỷ",4 m,Sổ đỏ/ Sổ hồng,Chương Mỹ,Nhà riêng,"3,5 m",,3 phòng,3 phòng,Cơ bản,3 tầng,
,,,,,,,,,,,,
46 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Thanh Xuân,"Chung cư mini, căn hộ dịch vụ",,,2 phòng,1 phòng,Đầy đủ,,
"40,1 m²","8,4 tỷ","3,87 m",Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,5 phòng,3 phòng,,4 tầng,
45 m²,"9,2 tỷ",9 m,Đã có sổ đỏ,Nam Từ Liêm,Nhà riêng,4 m,,12 phòng,12 phòng,Đầy đủ,7 tầng,
53 m²,"10,5 tỷ","3,3 m",,Cầu Giấy,Bán đất,3 m,,,,,,Đông - Nam
43 m²,"5,68 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Bán đất,,,,,,,
71 m²,"4,9 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,
54 m²,"2,85 tỷ",,Đang chờ sổ,Hà Đông,Căn hộ chung cư,,Đông - Nam,2 phòng,1 phòng,,,
55 m²,"12,8 tỷ",5 m,Sổ đỏ.,Hà Đông,Nhà riêng,,,,,Đầy đủ.,5 tầng,
65 m²,"5,05 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Full nội thất.,,
38 m²,Thỏa thuận,17 m,,Hoài Đức,Bán đất,60 m,,,,,,Đông
39 m²,"4,6 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,,,,,,5 tầng,
216 m²,52 tỷ,11 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà mặt phố,9 m,Đông,4 phòng,4 phòng,Đầy đủ,4 tầng,Đông
60 m²,23 tỷ,6 m,Sổ đỏ,Ba Đình,Nhà mặt phố,,,,,,6 tầng,
107 m²,"5,5 tỷ",,,Thanh Xuân,Căn hộ chung cư,,,3 phòng,2 phòng,,,
142 m²,"28,5 tỷ",5 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà mặt phố,8 m,,,,,4 tầng,
51 m²,23 tỷ,"3,5 m",,Hai Bà Trưng,Nhà mặt phố,,,1 phòng,1 phòng,,2 tầng,
127 m²,"7,5 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông - Nam,3 phòng,3 phòng,Đầy đủ,,Tây - Bắc
66 m²,"11,5 tỷ","5,4 m",Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,3 m,,4 phòng,4 phòng,Không nội thất,4 tầng,
40 m²,"4,98 tỷ","3,7 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,,,3 phòng,2 phòng,,3 tầng,
"214,56 m²",Thỏa thuận,10 m,,Tây Hồ,"Nhà biệt thự, liền kề",15 m,Bắc,5 phòng,5 phòng,,3 tầng,Bắc
53 m²,"3,95 tỷ","3,7 m",Sổ đỏ/ Sổ hồng.,Long Biên,Bán đất,,,,,,,
50 m²,"12,8 tỷ",5 m,Sổ đỏ/ Sổ hồng,Hà Đông,Bán đất,12 m,,,,,,Đông - Nam
"159,8 m²",80 triệu/m²,,,Tây Hồ,Căn hộ chung cư,,Nam,3 phòng,2 phòng,Đầy đủ,,Bắc
85 m²,"15,6 tỷ","5,38 m",Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,,,24 phòng,24 phòng,Đầy đủ,7 tầng,
130 m²,8 tỷ,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Tây - Bắc
50 m²,"17,5 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,4 phòng,5 phòng,Đầy đủ,7 tầng,
60 m²,"9,5 tỷ","4,5 m",Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà riêng,3 m,Đông - Nam,4 phòng,4 phòng,,5 tầng,Đông - Nam
98 m²,38 tỷ,"7,5 m",Sổ đỏ/ Sổ hồng.,Thanh Xuân,"Nhà biệt thự, liền kề",11 m,Đông - Nam,4 phòng,5 phòng,Đầy đủ.,5 tầng,Đông - Nam
67 m²,"1,7 tỷ",,Hợp đồng mua bán,Hà Đông,Căn hộ chung cư,,Tây,2 phòng,1 phòng,Đầy đủ,,Nam
72 m²,"16,5 tỷ",,,Ba Đình,Nhà riêng,5 m,,,,,3 tầng,
73 m²,"5,84 tỷ",,Sổ đỏ/ Sổ hồng.,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Cơ bản.,,Đông - Nam
75 m²,"12,5 tỷ",5 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Bán đất,,,,,,,
107 m²,"9,2 tỷ",,Sổ đỏ/ Sổ hồng.,Long Biên,Bán đất,,,,,,,
64 m²,"3,45 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Bắc,2 phòng,1 phòng,Đầy đủ,,
90 m²,"6,15 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Căn hộ chung cư,,,3 phòng,2 phòng,- Để lại nội thất.,,
37 m²,"12,8 tỷ",,Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,,,4 phòng,,Đầy đủ,7 tầng,Nam
75 m²,4 tỷ,,Hợp đồng mua bán,Gia Lâm,Căn hộ chung cư,,Đông - Bắc,2 phòng,2 phòng,Đầy đủ,,Đông
71 m²,"7,55 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
55 m²,"12,5 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,,,,5 tầng,
215 m²,65 tỷ,,,Nam Từ Liêm,"Shophouse, nhà phố thương mại",,,,,,,
19 m²,"3,5 tỷ","3,1 m",Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,,,,,Đầy đủ,4 tầng,
30 m²,"5,8 tỷ",5 m,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,5 m,,3 phòng,4 phòng,Đầy đủ,5 tầng,
60 m²,"13,5 tỷ",4 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà mặt phố,,,,,,,
40 m²,"14,8 tỷ","3,7 m",Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,"4,5 m",,5 phòng,6 phòng,Đầy đủ,8 tầng,
"91,9 m²","7,3 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,2 phòng,Cơ bản,,
125 m²,35 tỷ,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà mặt phố,,,,,Đầy đủ,10 tầng,
42 m²,"1,49 tỷ",,Hợp đồng mua bán,Thanh Trì,Căn hộ chung cư,,,1 phòng,1 phòng,Đầy đủ,,
60 m²,"7,3 tỷ",,,Bắc Từ Liêm,Nhà riêng,,,3 phòng,,,3 tầng,
96 m²,"23,5 tỷ",10 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,,,,5 tầng,
115 m²,7 tỷ,,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Tây - Bắc,3 phòng,2 phòng,Đầy đủ,,Đông - Nam
20 m²,800 triệu,,Sổ đỏ/ Sổ hồng,Thanh Xuân,"Chung cư mini, căn hộ dịch vụ",,Đông - Bắc,1 phòng,1 phòng,Đầy đủ,,Tây - Nam
110 m²,115 triệu/m²,,,Hoài Đức,"Nhà biệt thự, liền kề",,,,,,,
105 m²,37 tỷ,"6,6 m",Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà mặt phố,15 m,,8 phòng,7 phòng,Đầy đủ,7 tầng,
83 m²,Thỏa thuận,,,Hoàng Mai,Căn hộ chung cư,,,3 phòng,2 phòng,Nội thất đầy đủ,,
"74,1 m²","3,9 tỷ",,Có sổ.,Gia Lâm,Căn hộ chung cư,,Đông - Bắc,2 phòng,2 phòng,Bàn giao full nội thất liền tường cao cấp.,,
46 m²,"2,6 tỷ",,Sổ đỏ/ Sổ hồng,Hoài Đức,Nhà riêng,,,3 phòng,3 phòng,Cơ bản,3 tầng,
70 m²,"16,2 tỷ","4,5 m",,Hà Đông,Nhà riêng,,,,,,5 tầng,
45 m²,"3,65 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,3 phòng,3 phòng,Cơ bản,4 tầng,
83 m²,"6,8 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Tây - Bắc,3 phòng,2 phòng,Đầy đủ,,Đông - Nam
100 m²,65 tỷ,"6,7 m",Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà mặt phố,20 m,,,,Đầy đủ,,
245 m²,85 triệu/m²,"10,5 m",Sổ đỏ/ Sổ hồng.,Gia Lâm,"Nhà biệt thự, liền kề",12 m,Đông - Bắc,,,,4 tầng,Đông - Bắc
108 m²,25 tỷ,15 m,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,"Nhà biệt thự, liền kề",20 m,Đông - Bắc,5 phòng,5 phòng,Đầy đủ,5 tầng,Đông - Bắc
32 m²,"3,35 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,4 phòng,3 phòng,Không nội thất,4 tầng,
"42,7 m²",Thỏa thuận,"4,95 m",Sổ đỏ/ Sổ hồng,Đông Anh,Bán đất,3 m,,,,,,Nam
50 m²,"2,85 tỷ",,Sổ đỏ/ Sổ hồng,Tây Hồ,Căn hộ chung cư,,,2 phòng,1 phòng,Đầy đủ,,
175 m²,50 triệu/m²,,,Hoàng Mai,"Shophouse, nhà phố thương mại",,,,,,,
42 m²,"10,99 tỷ","3,8 m",Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,4 m,,4 phòng,4 phòng,Đầy đủ,5 tầng,
88 m²,"25,5 tỷ",7 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,,,,8 tầng,
42 m²,"8,1 tỷ",,Sổ đỏ,Cầu Giấy,Nhà riêng,,Bắc,5 phòng,5 phòng,Full.,4 tầng,Nam
"114,33 m²","8,5 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,,,Tây - Bắc
"45,1 m²","6,45 tỷ",,Sổ đỏ,Bắc Từ Liêm,Nhà riêng,,,5 phòng,5 phòng,,4 tầng,
70 m²,"4,5 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Bắc,2 phòng,2 phòng,Đầy đủ,,Tây - Nam
120 m²,"7,4 tỷ",,Sổ đỏ/ Sổ hồng,Đống Đa,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
75 m²,26 tỷ,,,Đông Anh,"Nhà biệt thự, liền kề",,,,,,,
250 m²,45 tỷ,12 m,Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",50 m,,5 phòng,4 phòng,,3 tầng,
95 m²,8 tỷ,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông,3 phòng,2 phòng,Đầy đủ,,Tây
190 m²,Thỏa thuận,,Sổ đỏ/sổ hồng.,Hoài Đức,"Nhà biệt thự, liền kề",,,,,,4 tầng,Đông - Nam
40 m²,"16,1 tỷ","5,2 m",Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,10 m,,4 phòng,4 phòng,Đầy đủ,5 tầng,
"63,4 m²","2,3 tỷ",,,Chương Mỹ,Bán đất,,,,,,,
89 m²,Thỏa thuận,,,Bắc Từ Liêm,Căn hộ chung cư,,,2 phòng,2 phòng,+ Full đồ như hình.,,
57 m²,"12,8 tỷ","3,3 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,6 m,,4 phòng,3 phòng,Đầy đủ,4 tầng,
340 m²,440 triệu/m²,12 m,Sổ đỏ/ Sổ hồng,Tây Hồ,"Nhà biệt thự, liền kề",40 m,Đông - Nam,6 phòng,4 phòng,Không nội thất,4 tầng,Tây
35 m²,"4,9 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,3 m,,3 phòng,4 phòng,,5 tầng,
60 m²,"15,4 tỷ",,- Sổ đỏ,Cầu Giấy,Nhà riêng,,,,,,6 tầng,
45 m²,"13,5 tỷ","4,5 m",,Cầu Giấy,Nhà riêng,5 m,,,,,5 tầng,
62 m²,Thỏa thuận,,,Hà Đông,Căn hộ chung cư,,,,,,,
95 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
65 m²,"3,2 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,Tây - Bắc
30 m²,"3,3 tỷ","3,55 m",Sổ đỏ/ Sổ hồng,Hoài Đức,Nhà riêng,"2,8 m",,3 phòng,3 phòng,Cơ bản,4 tầng,Tây - Bắc
